"Jahr","unbestimmt"
"1985","1514"
"1986","1606"
"1987","1383"
"1988","2271"
"1989","1583"
"1990","2017"
"1991","1312"
"1992","795"
"1993","1210"
"1994","2171"
"1995","2529"
"1996","1878"
"1997","1952"
"1998","1411"
"1999","1847"
"2000","2199"
"2001","2584"
"2002","1062"
"2003","1577"
"2004","1938"
"2005","2027"
"2006","2018"
"2007","2279"
"2008","2508"
"2009","1948"
"2010","1483"
"2011","2386"
"2012","1591"
"2013","1666"
"2014","2064"
"2015","2474"
"2016","1905"
"2017","1572"
"2018","2146"
"2019","1819"
"2020","1424"
"2021","1587"
"2022","1805"
"2023","1157"
"2024","2120"
