ID,NO,sp,ADULTE,JUVENIL,AGE,ORIGINE,TYPE_PRELE,KANTON,GEMEINDE,LOKALITAET,LATITUDE,LONGITUDE,PR,TAG,MONAT,JAHR,DATE,DATEJ,DATEJC,PTD,DCD,QUI,X_CH1903,Y_CH1903,cnha_CH1903,KM2_CH1903,N5_CH1903,XN5_CH1903,YN5_CH1903,GEWICHT,JAGDT,FANG_MARZ,FANG_SOMMER,FANG_HERBST,dH_reg,dC,dN,MYINDEX_dH_2019_reg,MYINDEX_dN,PROVENANCE_2019_reg,regiobio6,dH_scaled,dH_correct,dH,reg_dH,bc,MYINDEX_dH_2019_voigt,PROVENANCE_voigt,MYINDEX_dH (report Woodcock 2016),BEMERKUNGEN
2016MEISHE-10,MEISHE-10,ScoRus,1,0,Adulte,UNBEKANNT,jgd,NE,Val-de-Ruz,Rochers bruns,47.03494702,6.828033467,6,26,10,2016,26/10/2016,295,41,60,30,20,553590,209504,55352095,553209,550205,552500,207500,292,1,0,0,0,-159.7885485,-23.73,4.63,16,5,,Jura,-123.32,-123.32,NA,NA,,12,Oural,12,Abschuss
2014GRUBLO-1,GRUBLO-1,ScoRus,1,0,Adulte,UNBEKANNT,jgd,TI,Monte Ceneri,Alpe di Grumo,46.1351469,8.936483814,4,29,10,2014,29/10/2014,298,44,61,31,21,715750,110400,71571104,715110,715110,717500,112500,278,1,0,0,0,-144.9625,-23.32075,7.331639653,14,7,,Versant sud des Alpes,-111.46,-111.46,-135.00,-144.96,,11,Oural,11,Abschuss
2014GRUBLO-4,GRUBLO-4,ScoRus,1,0,Adulte,UNBEKANNT,jgd,TI,Medeglia,Cugnolo,46.10943386,8.975232248,4,8,11,2014,8/11/2014,307,53,63,32,21,718800,107600,71881076,718107,715105,717500,107500,329,1,0,0,0,-140.325,-23.57475,5.758236145,14,6,,Versant sud des Alpes,-107.75,-107.75,-131.20,-140.33,,11,Oural,11,Abschuss
2015SAVAJE-2,SAVAJE-2,ScoRus,1,0,Adulte,UNBEKANNT,jgd,FR,Onnens,Les Possessions,46.76663804,7.040023576,5,4,11,2015,4/11/2015,303,49,62,31,21,569551,179573,56951795,569179,565175,567500,177500,289,1,0,0,0,-137.7375,-23.17886663,5.785578721,14,6,,Plateau,-105.68,-105.68,-129.10,-137.74,,11,Oural,11,Abschuss
2016PRETFA-4,PRETFA-4,ScoRus,1,0,Adulte,UNBEKANNT,jgd,NE,Le Locle,Les Siméons,47.08264795,6.757432375,5,2,11,2016,2/11/2016,301,47,62,31,21,548270,214851,54822148,548214,545210,547500,212500,328,1,0,0,0,-137.4367324,-24.08,1.4,14,1,,Jura,-105.44,-105.44,NA,NA,,11,Oural,11,Abschuss
2013PFISED-2,PFISED-2,ScoRus,1,0,Adulte,UNBEKANNT,jgd,NE,Les Genevez-s-Coffrane,Grande Motte,47.01418852,6.821825156,4,9,11,2013,9/11/2013,308,54,63,32,21,553100,207200,55312072,553207,550205,552500,207500,400,1,0,0,0,-135.4625,192.0669542,5.711284814,14,6,,Jura,-103.86,-103.86,-127.20,-135.46,,10,Oural,10,Abschuss
2015CAVACO-3,CAVACO-3,ScoRus,1,0,Adulte,UNBEKANNT,jgd,TI,Isorno,Bolla,46.21012128,8.690050672,6,27,10,2015,27/10/2015,296,42,60,30,20,696575,118400,69651184,696118,695115,697500,117500,275,1,0,0,0,-133.7875,-23.7142,6.485536422,13,6,,Versant sud des Alpes,-102.52,-102.52,-125.90,-133.78,,10,Oural,10,Abschuss
2014GRUBLO-5,GRUBLO-5,ScoRus,1,0,Adulte,UNBEKANNT,jgd,TI,Gola di Lago,Alpe St. Maria,46.10500731,8.969933713,5,11,11,2014,11/11/2014,310,56,63,32,21,718400,107100,71841071,718107,715105,717500,107500,311,1,0,0,0,-130.725,-22.6572,7.185462483,13,7,,Versant sud des Alpes,-100.07,-100.07,-123.40,-130.72,,10,Oural,10,Abschuss
2014ROSS_GI-2,ROSS.GI-2,ScoRus,1,0,Adulte,UNBEKANNT,jgd,TI,Onserrone,Plan Drol,46.20096543,8.547628411,5,25,10,2014,25/10/2014,294,40,60,30,20,685599,117217,68551172,685117,685115,687500,117500,388,1,0,0,0,-130.3625,-24.6922,7.096396001,13,7,,Versant sud des Alpes,-99.78,-99.78,-123.10,-130.36,,10,Oural,10,Abschuss
2014GNOSDA-4,GNOSDA-4,ScoRus,1,0,Adulte,UNBEKANNT,jgd,TI,Gambarogno,V. dell Asino,46.09133408,8.845409212,4,19,10,2014,19/10/2014,288,34,59,30,20,708800,105400,70881054,708105,705105,707500,107500,278,1,0,0,0,-130.025,-24.6588,6.188775475,13,6,,Versant sud des Alpes,-99.51,-99.51,-122.80,-130.02,,10,Oural,10,Abschuss
2013GNOSDA-8,GNOSDA-8,ScoRus,1,0,Adulte,UNBEKANNT,jgd,TI,Gambarogno,Dovascio,46.1274388,8.835988326,4,17,11,2013,17/11/2013,316,62,65,33,22,708000,109400,70801094,708109,705105,707500,107500,286,1,0,0,0,-129.75,5.300067159,4.607348466,13,5,,Versant sud des Alpes,-99.29,-99.29,-122.60,-129.74,,10,Oural,10,Abschuss
2014CAVACO-6,CAVACO-6,ScoRus,1,0,Adulte,UNBEKANNT,jgd,TI,Isorno,Iasco,46.21028628,8.659328718,6,21,10,2014,21/10/2014,290,36,59,30,20,694204,118381,69421183,694118,690115,692500,117500,303,1,0,0,0,-129.6625,-24.437,5.731007432,13,6,,Versant sud des Alpes,-99.22,-99.22,-122.50,-129.66,,10,Oural,10,Abschuss
