Date,Lab,RefID,Region,Age,GrowthYr,LocationCode,Latitude,Longitude,DHF,MAD
01/04/2009,SUERC,KO 65,RUSSIA,Adult,2008,1,58.15,44.42,-62.24,-96
01/04/2009,SUERC,KO 66,RUSSIA,Adult,2008,1,58.15,44.42,-55.46,-96
01/04/2009,SUERC,KO 67,RUSSIA,FY,2008,1,58.15,44.42,-87.65,-96
01/04/2009,SUERC,KO 68,RUSSIA,FY,2008,1,58.15,44.42,-103.17,-96
01/04/2009,SUERC,KO 85,RUSSIA,FY,2008,1,58.15,44.42,-94.05,-96
01/04/2009,SUERC,KO 86,RUSSIA,FY,2008,1,58.15,44.42,-91.76,-96
01/04/2009,SUERC,KO 87,RUSSIA,FY,2008,1,58.15,44.42,-95.19,-96
01/04/2009,SUERC,KO 88,RUSSIA,Adult,2008,1,58.15,44.42,-64.41,-96
01/04/2009,SUERC,KO 89,RUSSIA,Adult,2008,1,58.15,44.42,-63.83,-96
01/04/2009,SUERC,KO 90,RUSSIA,Adult,2008,1,58.15,44.42,-57.32,-96
01/04/2010,SUERC,KO 91,RUSSIA,Adult,2009,1,58.15,44.42,-56.34,-96
01/04/2010,SUERC,KO 92,RUSSIA,Adult,2009,1,58.15,44.42,-59.65,-96
01/04/2010,SUERC,KO 93,RUSSIA,FY,2009,1,58.15,44.42,-98.77,-96
01/04/2010,SUERC,KO 94,RUSSIA,FY,2009,1,58.15,44.42,-104.98,-96
02/05/2010,SUERC,KO 95,RUSSIA,Adult,2009,2,58.15,41.62,-59.29,-94
02/05/2010,SUERC,KO 96,RUSSIA,Adult,2009,2,58.15,41.62,-58.7,-94
1/08/2010,IA,KO 132,RUSSIA,Adult,2010,3,50.19,39.54,-66.56,-70
01/04/2010,SUERC,KO 69,RUSSIA,Adult,2009,4,55.9,39.2,-60.1,-85
01/04/2010,SUERC,KO 70,RUSSIA,FY,2009,4,55.9,39.2,-112.02,-85
01/04/2010,SUERC,KO 71,RUSSIA,FY,2009,4,55.9,39.2,-108.25,-85
01/04/2010,SUERC,KO 72,RUSSIA,FY,2009,4,55.9,39.2,-97.46,-85
01/04/2010,SUERC,KO 73,RUSSIA,Adult,2009,4,55.9,39.2,-56.91,-85
11/05/2010,SUERC,KO 97,RUSSIA,FY,2009,4,55.9,39.2,-107.85,-85
12/05/2010,SUERC,KO 98,RUSSIA,Adult,2009,4,55.9,39.2,-49.54,-85
12/05/2010,SUERC,KO 99,RUSSIA,FY,2009,4,55.9,39.2,-94.15,-85
01/04/2010,SUERC,KO 74,RUSSIA,FY,2009,5,57.88,36.53,-92.41,-89
01/04/2010,SUERC,KO 75,RUSSIA,FY,2009,5,57.88,36.53,-98.35,-89
01/04/2010,SUERC,KO 76,RUSSIA,FY,2009,5,57.88,36.53,-98.67,-89
01/04/2010,SUERC,KO 77,RUSSIA,FY,2009,5,57.88,36.53,-99.7,-89
01/04/2010,SUERC,KO 78,RUSSIA,FY,2009,5,57.88,36.53,-96.1,-89
01/04/2010,SUERC,KO 79,RUSSIA,FY,2009,5,57.88,36.53,-98.53,-89
01/04/2010,SUERC,KO 81,RUSSIA,Adult,2009,5,57.88,36.53,-70.42,-89
01/04/2010,SUERC,KO 82,RUSSIA,Adult,2009,5,57.88,36.53,-66.4,-89
01/04/2010,SUERC,KO 80,RUSSIA,FY,2009,6,56.5,35.67,-102.02,-85
01/04/2010,SUERC,KO 83,RUSSIA,Adult,2009,6,56.5,35.67,-55.56,-85
01/04/2010,SUERC,KO 84,RUSSIA,Adult,2009,6,56.5,35.67,-59.11,-85
30/04/2010,IA,KO 136,RUSSIA,FY,2009,7,60.93,34.17,-100.52,-92
01/06/2008,SUERC,KO 49,RUSSIA,FY,2007,8,56.73,34.15,-91.76,-86
01/06/2008,SUERC,KO 50,RUSSIA,FY,2007,8,56.73,34.15,-86.7,-86
