ID,KANTON,dH,LATITUDE,LONGITUDE,feather_growth_date,feather_sampling_date
KO 65,RUSSIA,-42.25448,58.15,44.42,2008-06-15,2009-04-01
KO 66,RUSSIA,-36.47792,58.15,44.42,2008-06-15,2009-04-01
KO 67,RUSSIA,-63.9038,58.15,44.42,2008-05-15,2009-04-01
KO 68,RUSSIA,-77.12684,58.15,44.42,2008-05-15,2009-04-01
KO 85,RUSSIA,-69.3566,58.15,44.42,2008-05-15,2009-04-01
KO 86,RUSSIA,-67.40552,58.15,44.42,2008-05-15,2009-04-01
KO 87,RUSSIA,-70.32788,58.15,44.42,2008-05-15,2009-04-01
KO 88,RUSSIA,-44.10332,58.15,44.42,2008-06-15,2009-04-01
KO 89,RUSSIA,-43.60916,58.15,44.42,2008-06-15,2009-04-01
KO 90,RUSSIA,-38.06264,58.15,44.42,2008-06-15,2009-04-01
KO 91,RUSSIA,-37.22768,58.15,44.42,2009-06-15,2010-04-01
KO 92,RUSSIA,-40.0478,58.15,44.42,2009-06-15,2010-04-01
KO 93,RUSSIA,-73.37804,58.15,44.42,2009-05-15,2010-04-01
KO 94,RUSSIA,-78.66896,58.15,44.42,2009-05-15,2010-04-01
KO 95,RUSSIA,-39.74108,58.15,41.62,2009-06-15,2010-05-02
KO 96,RUSSIA,-39.2384,58.15,41.62,2009-06-15,2010-05-02
KO 132,RUSSIA,-45.93512,50.19,39.54,2010-06-15,2010-08-01
KO 69,RUSSIA,-40.4312,55.9,39.2,2009-06-15,2010-04-01
KO 70,RUSSIA,-84.66704,55.9,39.2,2009-05-15,2010-04-01
KO 71,RUSSIA,-81.455,55.9,39.2,2009-05-15,2010-04-01
KO 72,RUSSIA,-72.26192,55.9,39.2,2009-05-15,2010-04-01
KO 73,RUSSIA,-37.71332,55.9,39.2,2009-06-15,2010-04-01
KO 97,RUSSIA,-81.1142,55.9,39.2,2009-05-15,2010-05-11
KO 98,RUSSIA,-31.43408,55.9,39.2,2009-06-15,2010-05-12
KO 99,RUSSIA,-69.4418,55.9,39.2,2009-05-15,2010-05-12
KO 74,RUSSIA,-67.95932,57.88,36.53,2009-05-15,2010-04-01
KO 75,RUSSIA,-73.0202,57.88,36.53,2009-05-15,2010-04-01
KO 76,RUSSIA,-73.29284,57.88,36.53,2009-05-15,2010-04-01
KO 77,RUSSIA,-74.1704,57.88,36.53,2009-05-15,2010-04-01
KO 78,RUSSIA,-71.1032,57.88,36.53,2009-05-15,2010-04-01
KO 79,RUSSIA,-73.17356,57.88,36.53,2009-05-15,2010-04-01
KO 81,RUSSIA,-49.22384,57.88,36.53,2009-06-15,2010-04-01
KO 82,RUSSIA,-45.7988,57.88,36.53,2009-06-15,2010-04-01
KO 80,RUSSIA,-76.14704,56.5,35.67,2009-05-15,2010-04-01
KO 83,RUSSIA,-36.56312,56.5,35.67,2009-06-15,2010-04-01
KO 84,RUSSIA,-39.58772,56.5,35.67,2009-06-15,2010-04-01
KO 136,RUSSIA,-74.86904,60.93,34.17,2009-05-15,2010-04-30
KO 49,RUSSIA,-67.40552,56.73,34.15,2007-05-15,2008-06-01
KO 50,RUSSIA,-63.0944,56.73,34.15,2007-05-15,2008-06-01
KO 51,RUSSIA,-65.2244,56.73,34.15,2007-05-15,2008-06-01
KO 52,RUSSIA,-41.27468,56.73,34.15,2007-06-15,2008-06-01
KO 53,RUSSIA,-31.5278,56.73,34.15,2007-06-15,2008-06-01
KO 54,RUSSIA,-37.0658,56.73,34.15,2007-06-15,2008-06-01
KO 55,RUSSIA,-38.40344,56.73,34.15,2007-06-15,2008-06-01
KO 56,RUSSIA,-29.15924,56.73,34.15,2007-06-15,2008-06-01
L01,RUSSIA,-28.52024,60.22,31.95,2007-06-15,2008-04-19
L02,RUSSIA,-63.4352,60.22,31.95,2007-05-15,2008-04-19
KO 06,BELARUS,-36.35864,55.45,30.33,2002-06-15,2003-05-25
KO 07,BELARUS,-38.82944,55.45,30.33,2002-06-15,2003-05-25
KO 08,BELARUS,-42.24596,55.45,30.33,2002-06-15,2003-05-25
KO 19,BELARUS,-42.74012,55.45,30.33,2002-06-15,2003-06-18
KO 20,BELARUS,-69.101,55.45,30.33,2002-05-15,2003-06-20
KO 134,RUSSIA,-44.59748,61.43,30.15,2009-06-15,2010-05-01
KO 135,RUSSIA,-46.68488,61.43,30.15,2009-06-15,2010-05-01
