age,ctn,prior,for.med,for.lcl,for.ucl
0,NE,uninformative prior,0.459996926312926,0.0842045397939498,0.89303307485813
1,NE,uninformative prior,0.916488634213725,0.732513216961122,0.987733637731995
0,TI,uninformative prior,0.450823619438973,0.0803671515734565,0.885723831898235
1,TI,uninformative prior,0.508829714562795,0.0961441918617203,0.907467633415627
0,FR,uninformative prior,0.595827966450468,0.142935829504966,0.932109748913381
1,FR,uninformative prior,0.878620747902282,0.614692793777183,0.98222699013116
0,VD,uninformative prior,0.90656027686208,0.69567278936799,0.986151027365875
1,VD,uninformative prior,0.976497269298454,0.922573246818627,0.99656513832108
0,JU,uninformative prior,0.61139883005736,0.151895671049995,0.934132411983747
1,JU,uninformative prior,0.821463289468053,0.458386292598347,0.973775756248585
1,VS,uninformative prior,0.576981597512348,0.131182438453042,0.926734902931845
