age,ctn,prior,for.med,for.lcl,for.ucl
0,NE,uninformative prior,0.786000356665072,0.419118440394105,0.96613473491474
1,NE,uninformative prior,0.979781992229398,0.934727179827238,0.997146381715035
0,TI,uninformative prior,0.759808135227372,0.366651058360303,0.961697467786647
1,TI,uninformative prior,0.715648811467101,0.320535650852596,0.954209076572245
0,FR,uninformative prior,0.898033035368346,0.694113903478613,0.985485499288052
1,FR,uninformative prior,0.958611505599697,0.887853715979988,0.992699888157669
0,VD,uninformative prior,0.981041405791431,0.938339853253906,0.997244122246691
1,VD,uninformative prior,0.991311942188227,0.973637955595925,0.998667574409063
0,JU,uninformative prior,0.841565095353579,0.549921225591712,0.975072642645948
1,JU,uninformative prior,0.936325645688837,0.822331701624276,0.989235940833918
0,VS,uninformative prior,0.499651619032702,0.0949820478255862,0.905723436115506
1,VS,uninformative prior,0.803939699890191,0.479311242595924,0.968978795148439
