age,ctn,prior,for.med,for.ucl,for.lcl,Age
0,FR,combined abundance and migration,0.956873391532689,0.631299075245472,0.970669042637838,Juvenile
0,FR,only migration,0.183548735210238,0.0839858997738516,0.308456589079542,Juvenile
0,JU,combined abundance and migration,0.92848710803386,0.75264789677252,0.972341903059501,Juvenile
0,JU,only migration,0.130944195414343,0.0911143680397572,0.182475037135189,Juvenile
0,NE,combined abundance and migration,0.8862275395775,0.442956317381397,0.966963968050128,Juvenile
0,NE,only migration,0.130673880586348,0.051182446866814,0.334734481780952,Juvenile
0,TI,combined abundance and migration,0.902908324927555,0.580820099981804,0.974662890674826,Juvenile
0,TI,only migration,0.183204003888734,0.0632857093128092,0.428286900483802,Juvenile
0,VD,combined abundance and migration,0.82048713049753,0.565349455820042,0.969668941456915,Juvenile
0,VD,only migration,0.158735052352759,0.0743325394931931,0.393065481619053,Juvenile
1,FR,combined abundance and migration,0.919030245923472,0.527041470961178,0.973814773849712,Adult
1,FR,only migration,0.183910675170083,0.0641311510850329,0.530312589930089,Adult
1,JU,combined abundance and migration,0.955201565091967,0.685457931474231,0.969744151758629,Adult
1,JU,only migration,0.131349224429424,0.0702419740033073,0.131770387352214,Adult
1,NE,combined abundance and migration,0.863728194828086,0.438193810676479,0.973283454574734,Adult
1,NE,only migration,0.130933647901536,0.0437279291583335,0.336072138676521,Adult
1,TI,combined abundance and migration,0.888201551702968,0.525108966522771,0.973779087974943,Adult
1,TI,only migration,0.132739241638707,0.0637152143172935,0.429343156078943,Adult
1,VD,combined abundance and migration,0.809195672984115,0.439090613660605,0.972072371393718,Adult
1,VD,only migration,0.218839396778482,0.0521163701561939,0.624593437209245,Adult
1,VS,combined abundance and migration,0.885137944451213,0.639782503028607,0.965203851403317,Adult
1,VS,only migration,0.139081326069898,0.0682265929735613,0.253170671573338,Adult
0,NE,uninformative prior,0.457035979447958,0.890922197049742,0.0808286144460475,Juvenile
1,NE,uninformative prior,0.916406568732813,0.987619830500454,0.730556801235517,Adult
0,TI,uninformative prior,0.449407206674801,0.884726358033497,0.0802002086200822,Juvenile
1,TI,uninformative prior,0.507828694536555,0.907558869788815,0.0975641396927089,Adult
0,FR,uninformative prior,0.594236642126026,0.9309940014186,0.139623482078533,Juvenile
1,FR,uninformative prior,0.87815464820449,0.981662925004913,0.621708680787829,Adult
0,VD,uninformative prior,0.905904845315213,0.986464898950602,0.695471745864953,Juvenile
1,VD,uninformative prior,0.976534214742321,0.996569229367504,0.922190314502084,Adult
0,JU,uninformative prior,0.61358424869761,0.936273773420279,0.155230978790078,Juvenile
1,JU,uninformative prior,0.821526802650878,0.973381937031136,0.468326349842774,Adult
1,VS,uninformative prior,0.578219581598375,0.927990077789026,0.128466188190848,Adult
