mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.443054148856364,0.137759449471569,0.204332615907568,0.432309523739476,0.730791032274912,1,3088,p.nonlocal[1]
0.290301640310387,0.108124093716445,0.137579295453404,0.27117435274102,0.558002318545813,1.01,2189,p.nonlocal[2]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[3]
0.313389470137779,0.118144281294807,0.124235021071226,0.300045735803108,0.578968630406192,1,4156,p.nonlocal[4]
0.529150746833815,0.137483630491979,0.271853519774825,0.525417756925719,0.797837465282211,1,3131,p.nonlocal[5]
0.613778829048147,0.130395887876382,0.351820721845673,0.616791544444578,0.851577320203691,1,3181,p.nonlocal[6]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[7]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[8]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[9]
0.167532982359528,0.0809332124388193,0.0701798938527506,0.149686872873436,0.373945343189174,1.02,2000,p.nonlocal[10]
0.45274998616984,0.121297943297099,0.252154152991109,0.440215861818987,0.72739484081238,1,2238,p.nonlocal[11]
0.167532982359528,0.0809332124388193,0.0701798938527506,0.149686872873436,0.373945343189174,1.02,2000,p.nonlocal[12]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[13]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[14]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[15]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[16]
0.534101463465293,0.155594849578685,0.236926149806796,0.534692244656703,0.829944754861621,1,3152,p.nonlocal[17]
0.761330122350997,0.117050131593676,0.488245527106657,0.779296614331662,0.937486249703497,1,3233,p.nonlocal[18]
0.167532982359528,0.0809332124388193,0.0701798938527506,0.149686872873436,0.373945343189174,1.02,2000,p.nonlocal[19]
0.529150746833815,0.137483630491979,0.271853519774825,0.525417756925719,0.797837465282211,1,3131,p.nonlocal[20]
0.290301640310387,0.108124093716445,0.137579295453404,0.27117435274102,0.558002318545813,1.01,2189,p.nonlocal[21]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[22]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[23]
0.439190618445556,0.198642528161003,0.109357972122241,0.423260447144039,0.840023970357178,1,4854,p.nonlocal[24]
0.761330122350997,0.117050131593676,0.488245527106657,0.779296614331662,0.937486249703497,1,3233,p.nonlocal[25]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[26]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[27]
0.540603350984558,0.119003792544615,0.328944457326529,0.53342687062904,0.795049884820357,1,2264,p.nonlocal[28]
0.363718493700926,0.190304487539059,0.077879784280802,0.335459110995803,0.783166099892221,1,4854,p.nonlocal[29]
0.290301640310387,0.108124093716445,0.137579295453404,0.27117435274102,0.558002318545813,1.01,2189,p.nonlocal[30]
0.290301640310387,0.108124093716445,0.137579295453404,0.27117435274102,0.558002318545813,1.01,2189,p.nonlocal[31]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[32]
