ctn,foreign.med,foreign.lcl,foreign.ucl,Age,prior
FR,0.252090392010905,0.125630726157396,0.389530011148868,Juvenile,only migration
JU,0.188306225115909,0.137709689375645,0.252044373456093,Juvenile,only migration
NE,0.18774854639422,0.0801836498444264,0.417937874247917,Juvenile,only migration
TI,0.251560387341288,0.0992355356808097,0.508051730316315,Juvenile,only migration
VD,0.222082737859182,0.114979480157898,0.472805442057441,Juvenile,only migration
FR,0.251210503602648,0.0986299986825005,0.602706450757042,Adult,only migration
JU,0.187009059445765,0.103370282068994,0.187429479364879,Adult,only migration
NE,0.18732621553001,0.0698807575284587,0.416619078619631,Adult,only migration
TI,0.189192165801532,0.0982640365167008,0.507415554136732,Adult,only migration
VD,0.294718677727566,0.0821733207545439,0.686416359682783,Adult,only migration
VS,0.195155440582939,0.103399521037709,0.327613341539741,Adult,only migration
FR,0.956359139062501,0.632825036261309,0.97156507212987,Juvenile,combined abundance and migration
JU,0.930276997933029,0.752453602050619,0.97181103918801,Juvenile,combined abundance and migration
NE,0.887363929135782,0.44048652321087,0.966714395767693,Juvenile,combined abundance and migration
TI,0.904340491470649,0.577963325726327,0.975043652863963,Juvenile,combined abundance and migration
VD,0.825027119898356,0.564845632758322,0.969766907857098,Juvenile,combined abundance and migration
FR,0.915224468212627,0.597014947260173,0.973917256860513,Adult,combined abundance and migration
JU,0.968145910229047,0.674495673487073,0.96873440096333,Adult,combined abundance and migration
NE,0.866743172295261,0.429669480333447,0.972828835110147,Adult,combined abundance and migration
TI,0.888563964930332,0.525498148746966,0.97360026301693,Adult,combined abundance and migration
VD,0.813004143756694,0.46412931429199,0.971621389019935,Adult,combined abundance and migration
VS,0.883810669070084,0.63045661498362,0.964099758205337,Adult,combined abundance and migration
