ctn,foreign.med,foreign.lcl,foreign.ucl,Age,prior
FR,0.950415061227915,0.543914552700526,0.998963700975226,Juvenile,combined abundance and migration
JU,0.924123811945157,0.640180129803358,0.999034795020527,Juvenile,combined abundance and migration
NE,0.902641748705215,0.292820675455459,0.997695020741997,Juvenile,combined abundance and migration
TI,0.905699703744256,0.511244936691441,0.998325897073547,Juvenile,combined abundance and migration
VD,0.850704978432858,0.477966110169278,0.997043579284624,Juvenile,combined abundance and migration
FR,0.908800125932486,0.434200266617021,0.998476204731138,Adult,combined abundance and migration
JU,0.957065818565601,0.523081820001439,0.999521139182677,Adult,combined abundance and migration
NE,0.86085357575906,0.353944696008336,0.997257147816972,Adult,combined abundance and migration
TI,0.897425576451319,0.48016162052585,0.99824982879437,Adult,combined abundance and migration
VD,0.819707428126809,0.39349673226234,0.995523814322353,Adult,combined abundance and migration
VS,0.893438395947492,0.500775078004535,0.998010747806319,Adult,combined abundance and migration
