ctn,prior,foreign.med,foreign.lcl,foreign.ucl,Age
NE,uninformative prior,0.459996926312926,0.0842045397939498,0.89303307485813,Juvenile
NE,uninformative prior,0.916488634213725,0.732513216961122,0.987733637731995,Adult
TI,uninformative prior,0.450823619438973,0.0803671515734565,0.885723831898235,Juvenile
TI,uninformative prior,0.508829714562795,0.0961441918617203,0.907467633415627,Adult
FR,uninformative prior,0.595827966450468,0.142935829504966,0.932109748913381,Juvenile
FR,uninformative prior,0.878620747902282,0.614692793777183,0.98222699013116,Adult
VD,uninformative prior,0.90656027686208,0.69567278936799,0.986151027365875,Juvenile
VD,uninformative prior,0.976497269298454,0.922573246818627,0.99656513832108,Adult
JU,uninformative prior,0.61139883005736,0.151895671049995,0.934132411983747,Juvenile
JU,uninformative prior,0.821463289468053,0.458386292598347,0.973775756248585,Adult
VS,uninformative prior,0.576981597512348,0.131182438453042,0.926734902931845,Adult
FR,only migration,0.259351436271189,0.0544843463284237,0.530647229573755,Juvenile
JU,only migration,0.175235154740202,0.0454478072221792,0.391570430353274,Juvenile
NE,only migration,0.181408445821745,0.0258028817907061,0.516719015388337,Juvenile
TI,only migration,0.238812000669098,0.0403903926933303,0.605527340758885,Juvenile
VD,only migration,0.239922268799175,0.0420638788824512,0.628016350010894,Juvenile
FR,only migration,0.260192122690289,0.0497096645565299,0.758988361648862,Adult
JU,only migration,0.163452501459915,0.0318172359292225,0.352396151870906,Adult
NE,only migration,0.17198535723557,0.0187188860250501,0.558817638038065,Adult
TI,only migration,0.21561257565614,0.0357715477735112,0.598032481341097,Adult
VD,only migration,0.292173788260045,0.0311655436985423,0.784398032623401,Adult
VS,only migration,0.204514426394553,0.0307059481442929,0.499488657371708,Adult
FR,combined abundance and migration,0.95022138490296,0.544107387576337,0.998974855729944,Juvenile
JU,combined abundance and migration,0.923713666827668,0.639491295015784,0.999035831969984,Juvenile
NE,combined abundance and migration,0.902570384622456,0.295519709460208,0.997681951580322,Juvenile
TI,combined abundance and migration,0.905263877952386,0.52199879009022,0.998324034047899,Juvenile
VD,combined abundance and migration,0.850494656535409,0.505599546777436,0.997037152086923,Juvenile
FR,combined abundance and migration,0.909666895497402,0.546853731901693,0.998493487862747,Adult
JU,combined abundance and migration,0.949127907533671,0.552482851546593,0.999181695568775,Adult
NE,combined abundance and migration,0.86257403943764,0.363657974649996,0.997102220848191,Adult
TI,combined abundance and migration,0.897474828063439,0.507600563398298,0.99825843167086,Adult
VD,combined abundance and migration,0.826568199273285,0.444575248032745,0.99554589364174,Adult
VS,combined abundance and migration,0.894253365478978,0.506532048830871,0.998017216931436,Adult
