ctn,prior,foreign.med,foreign.lcl,foreign.ucl,Age
NE,uninformative prior,0.786000356665072,0.419118440394105,0.96613473491474,Juvenile
NE,uninformative prior,0.979781992229398,0.934727179827238,0.997146381715035,Adult
TI,uninformative prior,0.759808135227372,0.366651058360303,0.961697467786647,Juvenile
TI,uninformative prior,0.715648811467101,0.320535650852596,0.954209076572245,Adult
FR,uninformative prior,0.898033035368346,0.694113903478613,0.985485499288052,Juvenile
FR,uninformative prior,0.958611505599697,0.887853715979988,0.992699888157669,Adult
VD,uninformative prior,0.981041405791431,0.938339853253906,0.997244122246691,Juvenile
VD,uninformative prior,0.991311942188227,0.973637955595925,0.998667574409063,Adult
JU,uninformative prior,0.841565095353579,0.549921225591712,0.975072642645948,Juvenile
JU,uninformative prior,0.936325645688837,0.822331701624276,0.989235940833918,Adult
VS,uninformative prior,0.499651619032702,0.0949820478255862,0.905723436115506,Juvenile
VS,uninformative prior,0.803939699890191,0.479311242595924,0.968978795148439,Adult
FR,only migration,0.22011294736983,0.0501206745308178,0.461957095971646,Juvenile
JU,only migration,0.157201559300993,0.0384872914748463,0.355882934016994,Juvenile
NE,only migration,0.164117739040234,0.0238997323050981,0.447345241818832,Juvenile
TI,only migration,0.213391381875758,0.0394270435047538,0.526542044607699,Juvenile
VD,only migration,0.209881038099441,0.0376817636495973,0.544860164563556,Juvenile
FR,only migration,0.236746338709113,0.0518546598252817,0.668661969419412,Adult
JU,only migration,0.148841183805647,0.0315131661537586,0.336426706114056,Adult
NE,only migration,0.163750272370775,0.0192207133711901,0.495503230181155,Adult
TI,only migration,0.199016407162772,0.037076984900709,0.520393377774701,Adult
VD,only migration,0.251949175274275,0.0305613435922023,0.691536721123201,Adult
VS,only migration,0.195505684733086,0.035151297107261,0.453660984480804,Adult
FR,combined abundance and migration,0.95112304144606,0.554965666328903,0.999006748901046,Juvenile
JU,combined abundance and migration,0.925764793871144,0.646480577750263,0.999067687674754,Juvenile
NE,combined abundance and migration,0.904474662351369,0.302463917214501,0.997730235475533,Juvenile
TI,combined abundance and migration,0.907361021513615,0.520749654373168,0.998361559808528,Juvenile
VD,combined abundance and migration,0.853528508551395,0.486295365884599,0.997023198921396,Juvenile
FR,combined abundance and migration,0.911831559950206,0.483034940585713,0.998528149495192,Adult
JU,combined abundance and migration,0.958811620424204,0.53884846224801,0.999514687399519,Adult
NE,combined abundance and migration,0.863350750207407,0.368191759351617,0.997278027875191,Adult
TI,combined abundance and migration,0.900448452990913,0.495047148727159,0.998296624772548,Adult
VD,combined abundance and migration,0.823580459108026,0.425456760768698,0.995608727316419,Adult
VS,combined abundance and migration,0.897112029758602,0.51893346554421,0.998026164884741,Adult
