mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.000774633457464683,0.000529103369041562,0.000148487749080738,0.000641465485753001,0.0021511094125217,1.01,545,mean.mig
0.407899521959523,0.0493874661317942,0.31735122843614,0.40599827919166,0.509415900558708,1.01,441,b.mig.week
0.983378197931332,0.016261145067887,0.939647370334269,0.988372235779403,0.999601371388622,1,7860,mean.phi[1]
0.974647094863104,0.0259516245794049,0.903405063519779,0.982668578373622,0.999371584389292,1,7214,mean.phi[2]
0.960590074843422,0.0278995333389978,0.890008432527406,0.967120947278969,0.995257054114688,1,11987,mean.phi[3]
0.967300215393372,0.0183544165430971,0.923159246450243,0.970559796313172,0.993098739903027,1,14432,mean.phi[4]
0.994565904319038,0.00541714741015188,0.980022800177169,0.996247196684441,0.999866870600972,1,7657,mean.phi[5]
0.981327480669828,0.00534668075821524,0.969364427825022,0.9818674890869,0.990078174455265,1,13771,mean.phi[6]
0.974678141649684,0.00578302296755704,0.962080070892906,0.975148039754572,0.984688306063527,1,14946,mean.phi[7]
0.960952999095186,0.00727324233720182,0.945307495642991,0.96143952450638,0.973959804646236,1,13044,mean.phi[8]
0.980041423945778,0.0101955337620677,0.956067693032151,0.981672956500615,0.994911497563115,1,15195,mean.phi[9]
0.98828706103711,0.00825026014273836,0.967304699614382,0.990189975132583,0.998557323445504,1,12281,mean.phi[10]
0.974217607594315,0.0186374747984081,0.926928211563414,0.978594157066745,0.997084485185496,1,11581,mean.phi[11]
